Gene Name,correlation.E-score,pvalue.E-score,adjpvalue.E-score,MME Biomarkers(Reference),Gene Name,correlation.S-score,pvalue.S-score,adjpvalue.S-score,MMS biomarkers(Reference)
TPD52L1,0.769699121,1.69E-13,7.72E-11,,GJC1,0.726994533,1.52E-11,3.34E-09,Bueno2016(Sup.Table 2-Top50)
CLDN15,0.76854002,1.93E-13,8.52E-11,Lopez-Rios2006;Bueno2016(Sup.Table 2-Top50),VEGFC,0.726923389,1.53E-11,3.34E-09,
C1RL,0.765150184,2.85E-13,1.24E-10,,FLNA,0.722581807,2.30E-11,4.66E-09,
PTPRF,0.762814211,3.71E-13,1.46E-10,Lopez-Rios2006,SLC1A5,0.719256015,3.13E-11,6.06E-09,
PKHD1L1,0.761306518,4.40E-13,1.67E-10,,RUNX2,0.717826065,3.57E-11,6.85E-09,
ERN1,0.760860939,4.62E-13,1.71E-10,,MYH9,0.717241221,3.77E-11,7.12E-09,
ALOX12P2,0.760703953,4.70E-13,1.71E-10,,COL4A1,0.717059936,3.83E-11,7.19E-09,
SCNN1A,0.760703583,4.70E-13,1.71E-10,Bueno2016(Sup.Table 2-Top50),LUZP1,0.716724396,3.95E-11,7.32E-09,
C10orf54,0.760337554,4.90E-13,1.76E-10,,KCNQ5-IT1,0.716702401,3.96E-11,7.32E-09,
C3,0.75715914,6.96E-13,2.40E-10,,ACLY,0.714887907,4.67E-11,8.43E-09,
C4A,0.754929684,8.87E-13,2.97E-10,,MAST2,0.71481728,4.70E-11,8.43E-09,Bueno2016(Sup.Table 2-Top50)
GALNT12,0.753541576,1.03E-12,3.41E-10,,DYSF,0.714194635,4.97E-11,8.86E-09,
PDZD2,0.753193179,1.07E-12,3.49E-10,,CDC42EP3,0.712488798,5.79E-11,1.01E-08,
SEMA3B,0.753059541,1.08E-12,3.50E-10,,WDFY2,0.712017593,6.04E-11,1.05E-08,
C4B,0.752640725,1.13E-12,3.61E-10,,4-Mar,0.711866811,6.12E-11,1.05E-08,
PRG4,0.752220537,1.19E-12,3.70E-10,Bueno2016(Sup.Table 2-Top50),RUNX1-IT1,0.711725305,6.20E-11,1.06E-08,
TM4SF1,0.752189426,1.19E-12,3.70E-10,Bueno2016(Sup.Table 2-Top50),KIAA1462,0.711186826,6.51E-11,1.10E-08,Bueno2016(Sup.Table 2-Top50)
TDRD10,0.750501629,1.43E-12,4.32E-10,,PLXND1,0.710276074,7.06E-11,1.17E-08,Bueno2016(Sup.Table 2-Top50)
FRAS1,0.750225941,1.47E-12,4.35E-10,,ANO4,0.708834767,8.02E-11,1.32E-08,
DECR2,0.750214071,1.47E-12,4.35E-10,,ADARB1,0.708621698,8.17E-11,1.33E-08,
PPL,0.749150747,1.64E-12,4.81E-10,,CHN1,0.707356942,9.13E-11,1.46E-08,
CALB2,0.748811665,1.70E-12,4.89E-10,,SERPINE1,0.706494877,9.84E-11,1.56E-08,
CGN,0.74527201,2.47E-12,6.74E-10,Bueno2016(Sup.Table 2-Top50),DEPDC7,0.706479429,9.86E-11,1.56E-08,Bueno2016(Sup.Table 2-Top50)
KRT19,0.744797411,2.59E-12,7.00E-10,,COL7A1,0.706199956,1.01E-10,1.59E-08,Bueno2016(Sup.Table 2-Top50)
PLA2G12A,0.742703466,3.21E-12,8.59E-10,Bueno2016(Sup.Table 2-Top50),NDE1,0.705569697,1.07E-10,1.67E-08,
SLC28A3,0.742224281,3.37E-12,8.93E-10,,CNN2,0.704205071,1.20E-10,1.85E-08,
H6PD,0.73820515,5.07E-12,1.29E-09,,MYLK,0.703503839,1.28E-10,1.96E-08,
GFPT2,0.736847394,5.80E-12,1.44E-09,,UGCG,0.703158595,1.32E-10,1.99E-08,
AGSK1,0.736438965,6.04E-12,1.47E-09,,TRIP10,0.703079733,1.32E-10,1.99E-08,
SLC39A8,0.736141873,6.22E-12,1.50E-09,,WIPI1,0.701515366,1.51E-10,2.21E-08,
LRRC16A,0.733698202,7.92E-12,1.86E-09,,KIRREL3,0.701447538,1.52E-10,2.21E-08,
C5orf4,0.732456951,8.95E-12,2.01E-09,,MAP7D1,0.700461665,1.66E-10,2.35E-08,
RSPO1,0.732012787,9.34E-12,2.08E-09,Bueno2016(Sup.Table 2-Top50),TOP3A,0.70000562,1.72E-10,2.43E-08,
HRASLS5,0.731361088,9.95E-12,2.18E-09,,TDP1,0.699951805,1.73E-10,2.43E-08,
LOC100507088,0.730951755,1.04E-11,2.23E-09,,KCNMA1,0.699343849,1.82E-10,2.54E-08,
C1GALT1,0.730457225,1.09E-11,2.28E-09,,SEMA7A,0.699274743,1.83E-10,2.55E-08,Bueno2016(Sup.Table 2-Top50)
COBLL1,0.727516158,1.44E-11,2.95E-09,,ETV6,0.699063303,1.87E-10,2.58E-08,
ALDH1A2,0.727180081,1.49E-11,3.02E-09,,ADAMTS5,0.698033452,2.04E-10,2.78E-08,
MYO5B,0.726570321,1.58E-11,3.14E-09,Bueno2016(Sup.Table 2-Top50),PRKAB2,0.697876907,2.06E-10,2.79E-08,
MMP24,0.721617913,2.52E-11,4.79E-09,,DUSP7,0.697861718,2.07E-10,2.79E-08,
CCDC120,0.720401212,2.82E-11,5.32E-09,,CAP1,0.697365577,2.15E-10,2.90E-08,
UPK3B,0.719828028,2.97E-11,5.47E-09,Lopez-Rios2006;Bueno2016(Sup.Table 2-Top50),CORO1C,0.696993199,2.22E-10,2.97E-08,
LRRN4,0.719789513,2.98E-11,5.47E-09,Bueno2016(Sup.Table 2-Top50),KCNQ5,0.696941008,2.23E-10,2.97E-08,
AQP1,0.718435101,3.38E-11,6.05E-09,,ITGA11,0.696560831,2.30E-10,3.05E-08,
ANKS1B,0.718300333,3.42E-11,6.05E-09,,ITGA5,0.696463381,2.32E-10,3.06E-08,
MIR3936,0.71747757,3.69E-11,6.35E-09,,PPP1R18,0.695681617,2.48E-10,3.25E-08,Bueno2016(Sup.Table 2-Top50)
PBX1,0.717118084,3.81E-11,6.52E-09,,VIM,0.694497006,2.74E-10,3.57E-08,Bueno2016(Sup.Table 2-Top50)
SH3RF2,0.715781336,4.30E-11,7.26E-09,,GPR176,0.692534327,3.22E-10,4.13E-08,
LOC100508227,0.715389577,4.46E-11,7.47E-09,,DPP9,0.692393365,3.26E-10,4.16E-08,
BDNF-AS,0.714220638,4.96E-11,8.12E-09,,HTR1B,0.691803968,3.42E-10,4.34E-08,
TCEA3,0.714103438,5.01E-11,8.12E-09,,BARD1,0.69105239,3.64E-10,4.51E-08,
RASSF8,0.713910195,5.10E-11,8.21E-09,,FOXC2,0.691046088,3.64E-10,4.51E-08,Bueno2016(Sup.Table 2-Top50)
GTF2IRD2,0.713658499,5.21E-11,8.30E-09,,COL4A2,0.690025796,3.96E-10,4.88E-08,
ABLIM1,0.713282037,5.39E-11,8.53E-09,,ADAMTS12,0.689040455,4.29E-10,5.21E-08,
SLC9C1,0.711926924,6.09E-11,9.45E-09,,TNFAIP8L1,0.688986524,4.31E-10,5.21E-08,
SLC22A5,0.711567103,6.29E-11,9.70E-09,,CENPA,0.688176483,4.60E-10,5.51E-08,
FAM153A,0.711414339,6.38E-11,9.77E-09,,CD274,0.687643292,4.80E-10,5.72E-08,
KCNK5,0.711276017,6.46E-11,9.84E-09,,HTR1D,0.685945585,5.51E-10,6.50E-08,
CD200,0.710949983,6.65E-11,1.00E-08,,PRSS23,0.685409901,5.75E-10,6.75E-08,
TBC1D9,0.710806639,6.73E-11,1.00E-08,,DNMT1,0.685115604,5.89E-10,6.85E-08,
CHP1,0.71009392,7.17E-11,1.05E-08,,GLT25D1,0.684968522,5.96E-10,6.90E-08,
SLC7A4,0.709775587,7.38E-11,1.08E-08,,EDIL3,0.683408187,6.75E-10,7.76E-08,
NOS1AP,0.708841151,8.01E-11,1.16E-08,,UCN2,0.683057141,6.94E-10,7.93E-08,
GALK2,0.707572451,8.96E-11,1.27E-08,,TBXA2R,0.682716441,7.13E-10,8.07E-08,
NEBL,0.70657673,9.77E-11,1.38E-08,,ALCAM,0.682350381,7.34E-10,8.23E-08,
TNKS1BP1,0.706543405,9.80E-11,1.38E-08,,CD80,0.68226736,7.39E-10,8.23E-08,
CYBRD1,0.704162886,1.21E-10,1.63E-08,,LOC100507156,0.679575564,9.14E-10,9.96E-08,
UPK1B,0.70414134,1.21E-10,1.63E-08,Lopez-Rios2006,FHL3,0.679555131,9.15E-10,9.96E-08,
PEX5L,0.702480139,1.39E-10,1.86E-08,,MYBL1,0.678205882,1.02E-09,1.09E-07,
LOC150622,0.701058769,1.57E-10,2.07E-08,,KPNA2,0.678180002,1.02E-09,1.09E-07,
FAAH2,0.701000248,1.58E-10,2.07E-08,,FSTL1,0.677610753,1.07E-09,1.13E-07,
WT1,0.700976494,1.59E-10,2.07E-08,Bueno2016,RTN4,0.676403048,1.17E-09,1.23E-07,
NUDT7,0.700604968,1.64E-10,2.11E-08,,MIR548H3,0.675811858,1.22E-09,1.28E-07,
CYSTM1,0.700598148,1.64E-10,2.11E-08,Bueno2016(Sup.Table 2-Top50),SYT11,0.675575215,1.25E-09,1.30E-07,
LRP2,0.700496481,1.65E-10,2.12E-08,Lopez-Rios2006,DLGAP5,0.67548622,1.26E-09,1.30E-07,
PRR15L,0.700065688,1.71E-10,2.18E-08,Bueno2016(Sup.Table 2-Top50),HK1,0.674865122,1.32E-09,1.34E-07,
KNDC1,0.70006274,1.71E-10,2.18E-08,,PGM2L1,0.674839379,1.32E-09,1.34E-07,
KCTD2,0.697948772,2.05E-10,2.51E-08,,UBE2S,0.674760546,1.33E-09,1.35E-07,
C1R,0.697666473,2.10E-10,2.56E-08,,CDC25A,0.674558806,1.35E-09,1.36E-07,
FAM227B,0.697372918,2.15E-10,2.60E-08,,ZAK,0.67445175,1.36E-09,1.36E-07,
BNC1,0.697146038,2.19E-10,2.63E-08,,FTSJ1,0.673342594,1.48E-09,1.47E-07,
SLC4A4,0.695773142,2.46E-10,2.89E-08,,LOX,0.672548929,1.57E-09,1.55E-07,
ST6GAL1,0.695766665,2.46E-10,2.89E-08,,PSME4,0.672340115,1.60E-09,1.57E-07,
NDFIP2,0.694300275,2.78E-10,3.23E-08,,PIAS3,0.671734072,1.67E-09,1.64E-07,
LOC100506901,0.694260374,2.79E-10,3.23E-08,,C12orf75,0.671480696,1.71E-09,1.66E-07,
VTN,0.692059981,3.35E-10,3.79E-08,,SMS,0.671423183,1.71E-09,1.66E-07,
SLC19A3,0.691593512,3.48E-10,3.92E-08,,LEPRE1,0.671206476,1.74E-09,1.68E-07,
EDA,0.691503772,3.51E-10,3.94E-08,,CENPN,0.671030902,1.77E-09,1.69E-07,
C11orf67,0.691256686,3.58E-10,4.00E-08,,BCL2L12,0.670220383,1.88E-09,1.79E-07,
ARHGAP28,0.69101897,3.65E-10,4.04E-08,,IPO9-AS1,0.66904264,2.05E-09,1.95E-07,
MYO5C,0.689326721,4.19E-10,4.56E-08,,CDKN3,0.667865998,2.24E-09,2.11E-07,
FPGT-TNNI3K,0.688307248,4.55E-10,4.89E-08,,UHRF1,0.667688696,2.27E-09,2.11E-07,
LOC100507387,0.687988109,4.67E-10,5.00E-08,,LMNB2,0.66763825,2.28E-09,2.11E-07,
FAM153B,0.687530437,4.85E-10,5.14E-08,,FXYD5,0.667596786,2.29E-09,2.11E-07,
PAQR7,0.686749813,5.16E-10,5.43E-08,,CPPED1,0.667257054,2.35E-09,2.16E-07,
ARL4D,0.683771767,6.56E-10,6.78E-08,,FZD2,0.666978561,2.40E-09,2.20E-07,
OLFML1,0.683073825,6.93E-10,7.14E-08,,ST5,0.666586382,2.47E-09,2.25E-07,
PIK3C2B,0.682270107,7.39E-10,7.58E-08,,LMO7-AS1,0.666558583,2.47E-09,2.25E-07,
KCTD3,0.681977262,7.56E-10,7.73E-08,,ECE1,0.666383815,2.50E-09,2.27E-07,
DNAJB9,0.680901523,8.23E-10,8.34E-08,,COL5A1,0.666362491,2.51E-09,2.27E-07,Bueno2016(Sup.Table 2-Top50)
RNF10,0.680492604,8.50E-10,8.55E-08,,CIT,0.66590452,2.60E-09,2.34E-07,
DTX4,0.679277615,9.35E-10,9.37E-08,,HPRT1,0.665217028,2.73E-09,2.43E-07,
LOC100506451,0.678172981,1.02E-09,1.01E-07,,TCP11L1,0.66368793,3.06E-09,2.70E-07,
ZBTB44,0.678161442,1.02E-09,1.01E-07,,ACTN1,0.663358469,3.13E-09,2.74E-07,
GRB7,0.677508764,1.07E-09,1.06E-07,Lopez-Rios2006,AURKA,0.663129664,3.19E-09,2.78E-07,
WWC1,0.67742575,1.08E-09,1.06E-07,,SMURF2,0.662625216,3.31E-09,2.87E-07,
BBS4,0.677108488,1.11E-09,1.08E-07,,SRPK1,0.662448513,3.35E-09,2.89E-07,
ITLN2,0.676702617,1.14E-09,1.11E-07,Bueno2016(Sup.Table 2-Top50),AVEN,0.662369475,3.37E-09,2.90E-07,
SYT17,0.675202494,1.28E-09,1.23E-07,Bueno2016(Sup.Table 2-Top50),TGFBR1,0.662327647,3.38E-09,2.90E-07,
GPR133,0.672644676,1.56E-09,1.48E-07,,CXXC5,0.662295701,3.39E-09,2.90E-07,
KIAA0664L3,0.671406446,1.72E-09,1.57E-07,,MARS,0.661940423,3.48E-09,2.96E-07,
CASC2,0.670810589,1.80E-09,1.63E-07,,ANXA6,0.661374837,3.62E-09,3.08E-07,Bueno2016(Sup.Table 2-Top50)
FBXO2,0.670529545,1.83E-09,1.66E-07,Bueno2016(Sup.Table 2-Top50),CENPI,0.661053226,3.71E-09,3.14E-07,
CALML4,0.670321912,1.86E-09,1.67E-07,,VCL,0.660889144,3.76E-09,3.17E-07,
ECHDC2,0.669678913,1.96E-09,1.74E-07,,HJURP,0.66074769,3.79E-09,3.19E-07,
TOMM6,0.669240705,2.02E-09,1.77E-07,,INCENP,0.660556646,3.85E-09,3.22E-07,
KDR,0.669144382,2.04E-09,1.78E-07,,SPHK1,0.660331672,3.91E-09,3.27E-07,
LOC692247,0.668518685,2.13E-09,1.86E-07,,SMAGP,0.659401497,4.19E-09,3.47E-07,
PLXNB1,0.667020713,2.39E-09,2.03E-07,,STRN4,0.65922755,4.24E-09,3.50E-07,
RALGAPA2,0.666739318,2.44E-09,2.07E-07,,PDE1C,0.659162432,4.26E-09,3.51E-07,
ALDH3B1,0.666431362,2.50E-09,2.10E-07,,CENPL,0.659046998,4.29E-09,3.53E-07,
C11orf54,0.664301732,2.92E-09,2.43E-07,,BIRC5,0.658623112,4.43E-09,3.63E-07,
EPB41L4A,0.662994967,3.22E-09,2.63E-07,,PNPLA6,0.65816583,4.58E-09,3.74E-07,
REC8,0.662989706,3.22E-09,2.63E-07,Bueno2016(Sup.Table 2-Top50),MYBL2,0.658097267,4.60E-09,3.74E-07,
DOCK11,0.661819715,3.51E-09,2.84E-07,,GDNF,0.657615863,4.76E-09,3.86E-07,
LRRC1,0.661353025,3.63E-09,2.91E-07,Lopez-Rios2006;Bueno2016(Sup.Table 2-Top50),ARFGAP1,0.656996069,4.98E-09,4.01E-07,
CHST4,0.660739478,3.80E-09,3.02E-07,,NT5E,0.656771099,5.06E-09,4.03E-07,
ADH6,0.660358,3.90E-09,3.10E-07,,PODNL1,0.656769402,5.06E-09,4.03E-07,
TMEM37,0.65999942,4.01E-09,3.15E-07,,SH3PXD2A,0.656758417,5.07E-09,4.03E-07,
MUC16,0.65837473,4.51E-09,3.50E-07,,ENTPD4,0.656700748,5.09E-09,4.03E-07,
ANXA8L2,0.658174386,4.57E-09,3.51E-07,,GREM1,0.656335919,5.22E-09,4.11E-07,Bueno2016(Sup.Table 2-Top50)
FIS1,0.657694115,4.74E-09,3.62E-07,,KIF2C,0.655493239,5.55E-09,4.34E-07,
PRSS16,0.657073501,4.95E-09,3.74E-07,,LIMK2,0.654647733,5.89E-09,4.60E-07,
PLA2G2A,0.656632112,5.11E-09,3.84E-07,,MIR181A2HG,0.653992102,6.17E-09,4.80E-07,
ABLIM2,0.655913754,5.38E-09,4.00E-07,,GAS2L3,0.653543189,6.37E-09,4.94E-07,
TCERG1L,0.655845582,5.41E-09,4.01E-07,,RDH11,0.653427633,6.43E-09,4.97E-07,
FGF9,0.655474086,5.55E-09,4.11E-07,,ESCO2,0.65223257,6.99E-09,5.39E-07,
MIR4529,0.655318383,5.62E-09,4.12E-07,,OLFML2A,0.65169291,7.27E-09,5.57E-07,
SLPI,0.654865756,5.80E-09,4.23E-07,,NUAK1,0.65167786,7.27E-09,5.57E-07,
MST1R,0.654790995,5.83E-09,4.24E-07,,TRIO,0.651615974,7.30E-09,5.58E-07,
C10orf113,0.653697712,6.30E-09,4.54E-07,,ASAP1,0.651187864,7.53E-09,5.73E-07,
LOC100506257,0.653421418,6.43E-09,4.59E-07,,FBN2,0.651138556,7.55E-09,5.74E-07,
RASSF7,0.6526961,6.77E-09,4.82E-07,Bueno2016(Sup.Table 2-Top50),MIR4435-1,0.649018345,8.77E-09,6.58E-07,
GCA,0.652022388,7.10E-09,5.00E-07,,IMPDH1,0.648002837,9.41E-09,6.96E-07,
IGSF9,0.651708249,7.26E-09,5.07E-07,Bueno2016(Sup.Table 2-Top50),MTMR9,0.64786299,9.50E-09,6.98E-07,
CTSE,0.651193108,7.53E-09,5.23E-07,,PSAT1,0.647834098,9.52E-09,6.98E-07,
CCDC30,0.650930429,7.67E-09,5.31E-07,,MIR3167,0.647736471,9.58E-09,7.00E-07,
ALDH2,0.649269824,8.61E-09,5.85E-07,,ZHX3,0.647703829,9.61E-09,7.00E-07,
NINL,0.649261285,8.62E-09,5.85E-07,,ANO10,0.647486766,9.75E-09,7.06E-07,
FAM134B,0.648586178,9.03E-09,6.10E-07,,ANLN,0.647362893,9.84E-09,7.11E-07,
ALDH3A2,0.647983001,9.42E-09,6.33E-07,,RASAL2,0.64728131,9.89E-09,7.12E-07,
LOC401109,0.647314576,9.87E-09,6.62E-07,,NUP93,0.647070374,1.00E-08,7.21E-07,
LOC729013,0.647139633,9.99E-09,6.68E-07,,FAM225A,0.646785898,1.02E-08,7.33E-07,
ELMO3,0.646837304,1.02E-08,6.79E-07,Lopez-Rios2006;Bueno2016(Sup.Table 2-Top50),FOXM1,0.646025401,1.08E-08,7.68E-07,
LOC440337,0.646821428,1.02E-08,6.79E-07,,MARCKS,0.645695006,1.10E-08,7.82E-07,
TNXB,0.646752418,1.03E-08,6.79E-07,,REEP4,0.645453952,1.12E-08,7.88E-07,
SLC48A1,0.64629104,1.06E-08,6.97E-07,,FAM129A,0.645414389,1.13E-08,7.88E-07,
EFCAB6,0.646205271,1.07E-08,6.98E-07,,C20orf20,0.644716477,1.18E-08,8.22E-07,
SDHAP3,0.646194038,1.07E-08,6.98E-07,,GOPC,0.643672692,1.27E-08,8.77E-07,
TBC1D2B,0.6459352,1.09E-08,7.02E-07,,LOC100506394,0.643649151,1.27E-08,8.77E-07,
PCMTD2,0.645926596,1.09E-08,7.02E-07,,CDCA2,0.643332805,1.30E-08,8.94E-07,
SLX1B-SULT1A4,0.645628011,1.11E-08,7.13E-07,,PXN,0.643095889,1.32E-08,9.06E-07,
FAM133CP,0.645104842,1.15E-08,7.35E-07,,LOC100507117,0.642827008,1.34E-08,9.16E-07,
ANXA3,0.645066981,1.15E-08,7.35E-07,,YIF1B,0.642597581,1.37E-08,9.28E-07,
PGM1,0.645010902,1.16E-08,7.35E-07,,PLEKHG2,0.64120472,1.50E-08,1.01E-06,
FAM221A,0.644809234,1.17E-08,7.43E-07,,ECM1,0.640497384,1.57E-08,1.06E-06,
SNORA70F,0.644761873,1.18E-08,7.44E-07,,NUP188,0.64045015,1.58E-08,1.06E-06,
PLB1,0.644543172,1.20E-08,7.49E-07,,BLM,0.640102163,1.62E-08,1.07E-06,
EFHC1,0.644477416,1.20E-08,7.51E-07,,SLC7A5,0.640090027,1.62E-08,1.07E-06,
CLIC5,0.644166243,1.23E-08,7.63E-07,,PLAT,0.639457754,1.69E-08,1.12E-06,
MAL2,0.643958147,1.24E-08,7.72E-07,,PAX6,0.639439258,1.69E-08,1.12E-06,
PLEKHH2,0.643465613,1.29E-08,7.93E-07,,ODZ3,0.638991174,1.74E-08,1.14E-06,
C11orf65,0.643042855,1.32E-08,8.12E-07,,GSG2,0.638278892,1.83E-08,1.20E-06,
C1orf226,0.642449918,1.38E-08,8.44E-07,,GNA12,0.638211128,1.84E-08,1.20E-06,
LOC100129534,0.642280901,1.40E-08,8.51E-07,,TCF7L1,0.637389119,1.94E-08,1.26E-06,
FANCF,0.642191714,1.40E-08,8.52E-07,,TRIP13,0.636901489,2.01E-08,1.30E-06,
C12orf26,0.642191199,1.40E-08,8.52E-07,,ZNF699,0.63541479,2.21E-08,1.42E-06,
LOC643650,0.641183435,1.50E-08,9.08E-07,,BAX,0.635357574,2.22E-08,1.42E-06,
NBR1,0.640584539,1.57E-08,9.40E-07,,ARAP3,0.635336905,2.23E-08,1.42E-06,
SLC45A4,0.640571619,1.57E-08,9.40E-07,,KIF15,0.635308981,2.23E-08,1.42E-06,
MIR4320,0.640494176,1.58E-08,9.41E-07,,CCNF,0.63521404,2.24E-08,1.43E-06,
ESRP2,0.640446994,1.58E-08,9.41E-07,Bueno2016(Sup.Table 2-Top50),MCM10,0.634960355,2.28E-08,1.45E-06,
B3GNT7,0.639591583,1.67E-08,9.95E-07,,GTSE1,0.6347948,2.31E-08,1.46E-06,
KCNA4,0.639429119,1.69E-08,1.00E-06,,GLIS3,0.634590709,2.34E-08,1.47E-06,
